rating,text,date,trip_type,date_status
5,Great food in a cozy atmosphere with very friendly staff. Come back for sure!,May 2026,Family,date_with_label
3,"Attractive map and pleasant yet noisy setting. 
The staff is very friendly. 

I regret that there is no children's menu, when you take separately (fries, sausages, sauces, bread... More than 20€) 

I'm not sure my wife's steak really weighed 200gr... But the meat was very good. 
My burger did not look like the picture on the menu but it was excellent.

In short, the restaurant does its job but remains quite expensive.",May 2026,Family,date_with_label
5,Great experience. Surprised by singing for my birthday. Great staff!!! Especially for next time.,May 2026,Family,date_with_label
5,Super nice experience and very nice staff!,May 2026,Family,date_with_label
5,Very delicious and super kind staff! Definitely recommend!!!,May 2026,Family,date_with_label
5,Great staff and food! Had a great time.,May 2026,Family,date_with_label
5,"The brisket burger was amazing best I’ve had in a while. Salom meal amazing smoky flavor. 
Patricia was a lovely host very polite and friendly.",May 2026,Friends,date_with_label
2,"We ordered a table at 2000, but didn’t get it before 2018. Service with paynent was also incredibly slow. Good food an nice service during dinner.",May 2026,Family,date_with_label
5,"Beautiful surroundings, delicious foods, good staff",Apr 2026,Friends,date_with_label
5,"New kind of steakhouse for us. Good food and very fun. Great service throughout, too. We ate everything - proof in photo attached.",Apr 2026,Couples,date_with_label
5,Everything was perfect. All around it fit the price :),Apr 2026,Couples,date_with_label
5,"Delicious food! Nice, smooth service and a nice atmosphere.",Apr 2026,Family,date_with_label
3,"Dear Katiah, 

First of all we want to thank you for coming and want to clarify something to you. When you came with 10 people we offered you the group menu. It's never mandatory to take this menu, if you just have asked your host, he or she will be happy to offer you the a la carte. However we have service and quality as our top priority and we are sad to hear that your visit wasn't what you expected. However we want be happy to welcome you again in the future.

Kind regards,
Team DAY'S",Apr 2026,Friends,date_with_label
5,"Great food, great service. I keep coming back every time I’m in Amsterdam. Highly recommend 😍",Apr 2026,Family,date_with_label
5,Super. Delicious food and very friendly service,Apr 2026,Family,date_with_label
5,"The dinner was fantastic, and the service was top-notch from the very beginning. The food and drinks met my expectations 100%.",Apr 2026,Couples,date_with_label
5,"Wonderful experience! The steak was juicy and flavorful, and we loved our cocktails.",Apr 2026,Friends,date_with_label
5,Patricia was amazing! The food was beyond great and service top notch.  A must do for food and drink. Thank you for an amazing night!,Apr 2026,Couples,date_with_label
4,Didn’t have a reservation but sat me right away on an area of their choice. Good service. Good food.,Apr 2026,Solo,date_with_label
5,"Was here celebrating my moms birthday. Food was great and staff really friendly, they even threw in a little bday surprise. Very appreciated!",Apr 2026,Family,date_with_label
5,I have rarely enjoyed such good meat quality. Also the service was great,Apr 2026,Friends,date_with_label
5,"Had an excellent meal, great quality steak",Apr 2026,Couples,date_with_label
5,"Excellent food, service and atmosphere.",Apr 2026,Business,date_with_label
5,"Everything is FANTASTIC! Food, wine, people and atmosphere!! Highly recommend!",Apr 2026,Business,date_with_label
5,"A very cozy ambiance... when you are inside you do not have the idea that you are in a busy city.. the food is really sublime... we have had the tenderloin and it was no less than perfect!!!! The only thing I found unfortunate is that the mayo came in a bag while they present such nice containers to put a pump of mayo in there... 
The staff very friendly, attentive and observant... all in all a very good address for good food.... The price is also fair😉. We enjoyed our experience at Day’s and recommend it to everyone!!!",Mar 2026,Friends,date_with_label
5,"Sensational Dinner for meat lovers, high class service and client centricity. We will come back l!",Mar 2026,Couples,date_with_label
5,"Delicious food, great service!",Mar 2026,Couples,date_with_label
5,"Service was nice, the meat was very delicious. The personal was very friendship and smiley.",Mar 2026,Family,date_with_label
5,Highly Recommended The friendly staff and delicious meats are worth trying,Mar 2026,Family,date_with_label
5,"Its not my first time to come with friends and family and everytime, you amused me disappoint me.. good service, delicious food and most important is the service and employees are very nice!! 
I have two thumbs but this time i'll use all my 10 fingers too!!!",Mar 2026,Friends,date_with_label
5,Always great meat and friendly staff,Mar 2026,Couples,date_with_label
5,The lamb chops cooked at the table were great!  The burger was huge. The bread with herb butter is not to be missed!,Mar 2026,Couples,date_with_label
5,Lovely and fun experience searing our steaks on the stone grill at each persons seat.  Would definitely come again.,Mar 2026,Couples,date_with_label
5,"We spent a weekend in Amsterdam in March and fancy steak. Then came across this restaurant. 
Nice (also German-speaking) service, good beer and wine and as a special gimmick, the grilling of meat on the lava plate placed on the table. 
Even the dessert was very delicious. 

Clear recommendation.",Mar 2026,Couples,date_with_label
4,Nice experience cooking our own meat bit side dishes could be upgraded,Mar 2026,Couples,date_with_label
5,2nd visit to this restaurant. Both times were really good. We have the prawns and 2 great steaks cooked on a hot stone on our table. A must visit.,Feb 2026,Couples,date_with_label
5,We messed up our reservation but were told to come back in an hour and had a prime seat in the window. Lovely food and great service.,Mar 2026,Couples,date_with_label
5,"Brilliant find on trip advisor, booked ahead and had a lovely meal. The mixed grill for two was plentiful and great quality meat. Lovely ambience and really attentive staff. Would recommend if in the city.",Mar 2026,Couples,date_with_label
5,"Great service, very good meat (Chateaubriand). Delicious wine and delicious dessert ( Nee York Cheesecake)........ ..",Mar 2026,Family,date_with_label
5,Absolutely delicious meat that melted in my mouth. Very kind service and a wonderful evening. We’ll definitely be back next time we’re in Amsterdam.,Mar 2026,Business,date_with_label
5,"Really good we really enjoyed eating here, really good service and the food was amazing. We will come back again for sure",Feb 2026,Friends,date_with_label
5,Very nice place and exlcellent food and ever rhings,Feb 2026,Solo,date_with_label
5,"Lovely atmosphere, staff were very welcoming and polite. Food was lovely and everything and would recommend to anyone coming to Amsterdam for a nice steakhouse. 
Special thank you for Patricia and Deborah for the lovely service, your amazing people. :)",Feb 2026,Couples,date_with_label
4,"Went without reservation Good atmosphere, pleasant service. Great food!",Feb 2026,Business,date_with_label
5,"Great atmosphere for couples or friends. Chill and romantic. I loved the concept of cooking your meat at the table on the hot stone.  The staff was attentive and helpful. I highly recommend to anyone visiting Amsterdam.

We had a lovely evening.",Feb 2026,Couples,date_with_label
5,"We have an amazing meal. Food, services and atmosphere were great…10/10 
Highly recommend",Feb 2026,Couples,date_with_label
5,We had a delicious dinner. We went for the Chateaubriand and it did not disappoint. It was fabulous and accompanied by fries and the potatoes with peppercorn sauce. We were lucky to get in as we had not booked - would recommend visiting!,Feb 2026,Couples,date_with_label
5,Very good and an interesting experience when being able to cook your own steak on a stone right at your table,Feb 2026,Family,date_with_label
5,"Nice atmosphere, nice staff. The meat is excellent. Very good address",Feb 2026,Family,date_with_label
2,"Really disappointing! We booked a table, ignored at the door, for a good 5 mins, and not even acknowledged. Then we were asked by 3 separate people do you have a booking and we will be with you in 5 mins , getting the take ready …. My partner and I both walked past the table they eventually gave us which was free the whole time. 

We ordered the cote de boeuf to share, which the waitress turned her nose up that we would be sharing. Even though in total is was more grams than 2 of th largest cut steaks …. 

The sauce I ordered was cold. And then when we seasoned our unseasoned steak with rock salt, the salt top opened on my plate. The waitress took my place away which still had steak, veg and fries on and said it’s ok you still have veg there. No “sorry” for the top of the salt not being on! 

It was disappointing! The staff didn’t offer any knowledge of steak or good service.",Feb 2026,Couples,date_with_label
5,"Went here for the first time! Super food, nice reception. The Porterhouse highly recommended. Nicely cut at the table.  Grill and feast on yourself!",Feb 2026,Friends,date_with_label
5,"I love steaks, It’s so good:))",Feb 2026,Solo,date_with_label
5,Nice atmosphere! Very welcoming! Good steaks!,Feb 2026,Couples,date_with_label
5,"Had the best evening here. Food was absolutely amazing, staff were so welcoming and really knew everything about the menu and different cuts of steak. Would highly recommend to anyone thinking of going to Amsterdam, this is the place to go for steak!",Feb 2026,Couples,date_with_label
5,"Service very nice and accommodating, great service. Food was delicious. Our ribs are recommended. Steaks are fried on hot stone at the table itself. Day's is recommended. Prices are okay.
 We would love to come back",Feb 2026,Family,date_with_label
5,"The food was impeccable, very nice so so good, scrumptious 
the stuff is always super friendly so nice loving and engaging
The vibes also are giving good vibes!",Jan 2026,Couples,date_with_label
5,"Amazing food! This restaurant was recommended to us, and it definitely didn’t disappoint. The food was very nice, staff were very attentive. Highly recommend",Jan 2026,Friends,date_with_label
5,"Great service and outstanding food! 
The ribs are always a must👏
Hot Stone is just something else 

Cozy ambience, always back 👍🏼",Jan 2026,Friends,date_with_label
5,One of the best places for steak. Specially if you want to cook your steak on a stone. Keep the good work. Also the waiter she is so nice and very kind 👍.,Jan 2026,Business,date_with_label
5,"The service was amazing, such kind and welcoming staff who make you feel really comfortable. The atmosphere is very calming and cosy, perfect for the colder evenings! 
The steak was beautiful and the pepper sauce was insane! 
Thank you for the amazing experience!",Jan 2026,Friends,date_with_label
5,"A very good address.
The meat (Argentine beef rib) cooked on stone is very tasty. 
I highly recommend it.",Jan 2026,Business,date_with_label
5,"During our trip to Amsterdam we visited this restaurant. We can recommend the restaurant 100% and with a clear conscience. The food was really delicious. Everything from the starter to dessert was very consistent. Also the service was really excellent. This restaurant is definitely a must when visiting Amsterdam. Another big plus was that our staff spoke German, all other service staff spoke fluent English.",Jan 2026,Couples,date_with_label
5,"Very cozy place, atmosphere is simple but amazing! Stuff is super friendly and helpful. I really loved this experience with grill stones. Also it’s very warm inside. Really recommend to visit❤️",Jan 2026,Couples,date_with_label
5,"It was just great. A very nice service. And the food was just great. We had rib eye steaks and rarely ate such good meat. 
An absolute recommendation off the main road. 

Reservation recommended.",Jan 2026,Couples,date_with_label
5,"Food was very good, atmosphere was great, staff very friendly and attentive. I would recommend the place!!!",Jan 2026,Couples,date_with_label
5,"We had an amazing evening at Days Stonegrill. The tomahawk steak and cote de Boeuf were served on the hot stone was outstanding, top-quality meat, full of flavor, and perfectly cooked to our own preference. The burger was just as impressive: juicy, well-seasoned, and absolutely delicious. The warm atmosphere and friendly service made the experience even better. We ended the evening with an excellent cappuccino, rich and creamy, which was the perfect finishing touch. We had an amazing birthday with a group of 12 people. Highly recommended for anyone who loves great food and a relaxed dining experience at an amazing restaurant in Amsterdam!⭐️⭐️⭐️⭐️⭐️",Jan 2026,Friends,date_with_label
2,"We were a group of 19 people, and the restaurant was clearly not prepared for us. Our steaks were served completely raw. Normally, at a hot stone restaurant, the meat is raw on the inside but seared on the outside; that was not the case here. This was probably because of the size of our group, but they should have informed us beforehand.

When we arrived, there were six bottles of water on the table. We did not ask for them, yet we were charged 40 euros. While this may be acceptable, it is not good service. Customers should always be informed about what they are being charged for—items should not simply be placed on the table and added to the bill. I would not recommend this place to anyone.",Jan 2026,Business,date_with_label
5,"From the moment we walked in, everything went smoothly and perfect.
We were a table of 4, we had a reservation but we were late for 25 minutes and still they found us a table in no time.

Everything was top notch, starting from the stuff, moving to the food and finishing with the atmosphere.

10/10 suggested to anyone that loves and enjoys Great Food.
Definitely will visit again.

And the cherry on top was the limoncello at the end.",Jan 2026,Friends,date_with_label
5,"Excellent food and staffs service provided today 
We came back twice within one week before and after our London family trip . 
Staffs are very bright and cheerful   , very customer oriented. It’s great service and they even remember us as return customer 
100 💯 highly recommended",Jan 2026,Family,date_with_label
5,Amazing food and atmosphere. Definitely one of the best stakehouses around Amsterdam. The staff was very friendly and improved our experience.,Jan 2026,Couples,date_with_label
5,"It was the most amazing meal. Jamie from New Zealand was so close to home, she took care of us. Aussies in a steak bar is alot but she kept up and was so accommodating. The food was wonderful and highly recommend.",Jan 2026,Couples,date_with_label
5,A really nice ambiance in this restaurant with attentive service and great food which is fun as you cook it on your own hot plate.,Jan 2026,Couples,date_with_label
5,"Delicious, interactive dining experience that I highly recommend trying!!!

It is not often that you can eat delicious food, that you as the customer also got to help cook. 
We ordered the chateaubriand and it was melt in your mouth tender. Finishing the cooking at our table allowed us the control to get the exact finish that we wanted, from rare to medium. The sauces that you can order to accompany your meat are tasty as well. We especially enjoyed the garlic yoghurt sauce and pepper sauce.
The bread appetizer with garlic butter is a savory start to the meal. The only change I would make is to have it served warm. 

Overall, it was a great dining experience. The wait staff were friendly and helpful and the entire ambiance of the restaurant was warm and welcoming!",Jan 2026,Family,date_with_label
5,It's the best steakhouse in Amsterdam. It has an excellent atmosphere with excellent customer service the attention is pleasant and the food as always is the best with international cuts that are really worth it. An excellent experience for meat lovers,Jan 2026,Family,date_with_label
5,"Superlative meat. Place in the center, very nice to cozy. Top quality food, absolutely low prices for the highest quality. Super qualified staff. Bravo",Dec 2025,Couples,date_with_label
5,"Jamie best waitress - the beer was nice and importantly very cold. Had a great time and I need more characters , at least 10 more",Dec 2025,Family,date_with_label
5,It's not the first time we've been here. And it won't be the last time. This time we had the Wagyu burgers. They were very juicy. Dessert was also a dream.,Dec 2025,Family,date_with_label
5,One of the most fun experiences I’ve ever had with our family. Great food! Great service! Amazing! We’ll definitely be coming back!,Dec 2025,Family,date_with_label
5,We stayed here for Christmas and it was a great experience. The staff was very nice and we felt in good hands. The food was great!,Dec 2025,Couples,date_with_label
5,"Brillaint price, great food, lovely staff good good time you should defo bring famalam to come eat here, it’s scrum ash.",Dec 2025,Family,date_with_label
5,"Really excellent steak quality, on a stone grill so cook it to suit you, what’s not to like, service was good, had a nice lively but professional feel about the place as well",Dec 2025,Couples,date_with_label
5,"Great staff and an excellent experience.
The TomaHawk steak is truly huge — a full 1 kg of meat. I couldn’t finish it and had to take some home.
Worth every penny.",Dec 2025,Couples,date_with_label
5,Fantastic food and excellent service. Amazing birthday surprise. For our sons 18th birthday.Will be back! Thanks guys!,Dec 2025,Family,date_with_label
5,"Steak house simple but with pleasant environment. Friendly and courteous staff, wide choice of quality meats at reasonable prices by Amsterdam standards,",Dec 2025,Family,date_with_label
5,"Food was good. Service was good. Ambience was good. Had an amazing time! Highly recommend.

The staff was really amazing and know what they are serving.",Dec 2025,Business,date_with_label
5,"Amazing steak, amazing staff and atmosphere. Good drinks and fair prices.

Ordered the chateaubriand with a bottle off red wine. My companions ordered the wagyu burger, surf n turf and the slow cooked ribs. I recommend all of it.",Dec 2025,Friends,date_with_label
5,The great smell of steak sizzling on a hot stone is in the air inside this restaurant. The service from our waitress was friendly and efficient. I would come back to this restaurant again when we return to Amsterdam. It was fun to cook your own meat on the hot stone.,Dec 2025,Couples,date_with_label
5,Lovely food and lovely friendly service - would definitely recommend. Sizzling at the table steaks were brilliant!! X,Dec 2025,Couples,date_with_label
5,Excellent steaks and friendly service. The hot stone experience was fun. Had a great evening with friends in a cozy setting.,Dec 2025,Couples,date_with_label
5,Very friendly and well-positioned staff. Explain everything and make time for the clientele. Food was delicious. Excellent meat.,Dec 2025,Couples,date_with_label
5,"Food was great with a nice atmosphere. Great service too, very friendly staff. Would highly recommend to anyone visiting the area",Dec 2025,Couples,date_with_label
5,"Got rib eye with the potato on side, and tiramisu. Everything was so good and the staff are friendly!! They also gave free drink.",Nov 2025,Solo,date_with_label
5,"Whole staff was amazing, especially bav was amazing! Really nice food and nice atmosphere. Short ribs were good!!!!!!",Nov 2025,Family,date_with_label
5,"We came to celebrate my 50th Birthday. The food and service were excellent. 
Would highly recommend if you are coming to visit Amsterdam",Nov 2025,Family,date_with_label
5,This restaurant is very scenic and traveler accommodating. We felt welcomed and were provided with a unique dining experience.,Nov 2025,Couples,date_with_label
5,Erg delicious food !!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!,Nov 2025,Friends,date_with_label
5,Made a reservation based on previous TripAdvisor reviews and not disappointed. Beautiful steaks and friendly service.,Nov 2025,Couples,date_with_label
5,Server and Food was Excellent!!! Couldn’t ask for a better meal!! Was recommended by a friend to try with and it was the best birthday meal I’ve had in a long time.,Nov 2025,Family,date_with_label
5,"Clearly one of the best steak houses in all of Amsterdam. We loved every bite. Cooking on the hot lave platform at your table makes it even more memorable. The steak was delicious and tender. Definitely go here for a wonderful meal as well as a great experience. Best for adults, likely not a great place for kids under 12 but that’s just my opinion",Nov 2025,Couples,date_with_label
5,"Relatively crowded, however with tasty steaks and overall good food
Great service masterminded by Magda who did a truly fantastic job",Nov 2025,Friends,date_with_label
5,Very good food! The steaks were great! Great experience with the hot stone! Super nice hospitality! Highly recommended!👍,Nov 2025,Couples,date_with_label
5,"Day’s Stonegrill 1870 in Amsterdam was just great! We had the Ribeye and the Côte de Boeuf, and both were absolutely top class – tender, juicy and full of flavour. Grilling right at the table on the hot stone makes the food a special experience where you really taste the quality of the meat.

Finally, we had the Waffle Deluxe – a dream! Crispy, fluffy and perfectly served with ice cream and fresh fruit. The ideal end to a fantastic dinner.

The Service was extremely friendly and attentive, and the cozy Mood completed the evening perfectly.

If you are looking for an exceptional steak experience in Amsterdam, you should definitely visit Day’s Stonegrill 1870 – highly recommended!",Oct 2025,Family,date_with_label
5,Lovely friendly service…. A beautiful meal you cook yourself…. Great fun for kids… beautiful steak…. And not too expensive… thoroughly recommended,Oct 2025,Family,date_with_label
5,"Friendly staff. Great food, relaxed atmosphere. A great way to enjoy any celebrations 
Good central location 
Overall a really joyful evening",Oct 2025,Family,date_with_label
3,"The average man was nothing to write about, the ribs were cold, and the potatoes tasted nothing. Overall an experience that slipped straight through – more transparent than memorable.",Oct 2025,Business,date_with_label
5,"Everything was good and joyfull, they have good spot and good. Special thanks to Bav for his good service. I will come back again.",Oct 2025,Business,date_with_label
5,"Very nice place to eat! Really good food, especially the meet - comes on a hot stone! Wonderful experience including very nice and friendly service! 
Next time a must again!",Oct 2025,Couples,date_with_label
3,"The place was good, the service also tried very hard, however the meat was very mixed with fat and for this price not necessarily the best",Oct 2025,Family,date_with_label
5,Very nice food and great service as well. Food was very quick as well and the atmosphere was great as well with great value,Oct 2025,Friends,date_with_label
5,The food was very good. And the service was nice as well. We ordered the tomahawk steak and it was a great experience with an entire show.,Oct 2025,Couples,date_with_label
5,It was fabolous! A very elegant experience. Steaks were out of this world and the starters were amazing. My whole family loved it. I recommend.,Oct 2025,Family,date_with_label
5,"Excellent high quality meat. Unique dining experience cooking it to your own preference.
Friendly staff and fast service.",Oct 2025,Couples,date_with_label
3,"Restaurant Review

We had dinner here this evening as a group of eight and had booked our table in advance. The restaurant was ready for us when we arrived, which we appreciated.

However, as soon as we were seated, we were encouraged to choose a fixed menu because we were a larger group. We preferred to order from the à la carte menu instead, but were then told that, due to our group size, we each had to order a side dish. This felt a bit unnecessary and slightly forced.

That said, the food itself was excellent – everything we ordered was delicious, well-prepared, and beautifully presented. There was absolutely nothing to complain about when it came to the quality of the dishes.

The service, on the other hand, didn’t quite match the same high standard. We didn’t feel particularly welcomed, and there was a sense that the staff were more focused on upselling than on ensuring a comfortable dining experience. At the end of the meal, we also noticed that five extra drinks had been added to our bill (at €6 each). Once we pointed it out, they corrected it immediately, but it did leave a slightly unpleasant impression.

Overall, while the food was great, the service and attitude fell short of what we expected – especially considering how the restaurant promotes itself as a family-friendly and welcoming place on their website.",Oct 2025,Family,date_with_label
5,"Amazing T-bone steak! I didn’t even had reservation and it’s was late and they were really kind to get me a table.
Food is sensational",Oct 2025,Friends,date_with_label
5,"Was brilliant! Such a good night! Hot stones and red wine - perfect!!!!
Great food, great service. 
Fabulous experience!!!!",Oct 2025,Friends,date_with_label
4,"Food very good. Meat was good quality. Price fine. Servants just wanted to close very quickly, even though the restaurant would have officially opened for another hour",Oct 2025,Couples,date_with_label
5,"Very friendly Service. We had 1x Porterhouse & 1x Rib Eye Steak, which offered excellent quality and taste. For my husband they had another surprise for his birthday.What a nice gesture. Highly recommended.",Oct 2025,Couples,date_with_label
4,"Busy location, very popular on a Wednesday evening. Really enjoyable wine selection, and good food - without being memorable. Happy to revisit when back in Amsterdam. Patient friendly service team also",Jun 2025,Business,date_with_label
4,"Very brief wait for seating. Friendly, quick service. Food good and priced right. Would return on our next trip to Amsterdam.",Oct 2025,Couples,date_with_label
5,"Had a delicious steak, loved the experience of cooking on a stone! 
Wine was lovely! Very good price ! Had a lovely event staff were great!",Oct 2025,Family,date_with_label
5,All very good and very kind staff. Very good meat and impeccable Service. We will definitely be back........,Oct 2025,Couples,date_with_label
5,"Incredible experience in Amsterdam. One of the best I’ve ever had. Amazing service from Lampros!
Thank you so much!
5 stars.",Oct 2025,Friends,date_with_label
5,"Food top (we had burgers and ribs)
Service also very good , friendly 
Mood: very nice by the window

Make sure to reserve in advance",Oct 2025,Family,date_with_label
5,It wass a Peak Restaurant I Like it very much and the Steaks were very yummy and the staff were very Kind too 5 Stars from me.,Oct 2025,Family,date_with_label
5,"absolutely flipping lovely experience, gorgeous food and amazing service. Lovely people who work here and so so attentive. Happy birthday to me!!!",Oct 2025,Family,date_with_label
5,Excellent restaurant meat of high quality.Personal helpful and smiling. Recommended the meat is cooked directly by you at the table via a hot stone. Also offered bitter.,Sep 2025,Family,date_with_label
4,"Greta food in a very nice atmosphere. 
Friendly staff serving you with a smile
Tenderloin was very tasty 
Could recommend it for sure",Sep 2025,Business,date_with_label
5,"Stone grilling is an experience everyone should try, and specially with the quality of the meat provided (assuming the rest is as good as the tenderloin)",Sep 2025,Solo,date_with_label
5,Amazing steak and service and also not ridiculously expensive worth a visit Angus steak was amazing and wine was reasonably priced,Sep 2025,Couples,date_with_label
5,Amazing food with excellent service. They explain the menu to you perfectly and assist where needed. Would definitely recommend.,Sep 2025,Friends,date_with_label
5,"Nice Mood, delicious food and nice Service. The concept with the hot stones to grill yourself is fun and definitely a highlight.",Sep 2025,Friends,date_with_label
5,Great food and fantastic staff. Nicely treated and the meat was really delicious. A fun experience to prepare your own meat,Sep 2025,Family,date_with_label
3,"The restaurant is cozy in it self and the personal seemed happy to serve. However, the problem is with the ventilation as there are up to 20 stone grills spitting fumes into the area. Our clothes started smelling quite terribly. Meat was okay but the side vegetables were just directly from the freezer and mushrooms didn’t have any taste.",Sep 2025,Couples,date_with_label
5,Delicious and fun dinner. Highly recommend - also pro tip: save the garlic butter from the bread appetizer to cook your steak in.,Sep 2025,Family,date_with_label
5,"Really excellent experience. Courteous and professional Service. The idea of being able to cook your own meat at the table, on your plate, is very nice. Recommended",Sep 2025,Family,date_with_label
5,"Very cozy place, delicious meat!!!not to mention the desserts🥰 recommended for a dinner after a day as a tourist in Amsterdam",Sep 2025,Business,date_with_label
4,"Nice location, not a typical place but still pleasant. The waiters are friendly and helpful. The meat was good. Overall a nice experience",Sep 2025,Family,date_with_label
5,"Great Food, Good Cocktails, Nice Mood and Not Too Expensive. For €50 pp eaten including 2 cocktails and a bottle of wine.",Sep 2025,Friends,date_with_label
5,Excellent food friendly service we had the salmon and 3 meat sampler I highly recommend this restaurant if you are looking for a charming restaurant,Sep 2025,Couples,date_with_label
5,Absolutely amazing. Steak was incredible. Drinks amazing. Staff amazing . Will be back. Amazing service. Loved it. Amazing,Sep 2025,Friends,date_with_label
5,Amazing steak and quality. Would definitely recommend coming here with your friends or family! Great service as well and good atmosphere!,Sep 2025,Couples,date_with_label
5,Was a very cool and different experience with cooking your own steak! Was so much fun and the quality of the meat was unreal! Would definitely recommend this as a fun night out with your partner or friends!,Sep 2025,Couples,date_with_label
5,"We celebrated an 80-year-old. We got a fantastic reception, very good food and nice Service, especially with our various allergies. We walked away happy and very full!",Sep 2025,Family,date_with_label
5,"One of the best dining experiences we’ve ever had! Stone Grill Day’s combines top-quality meat with a unique grilling style that makes the whole process fun and unforgettable. The flavors were excellent, with fresh ingredients and great attention to detail.
A special shout-out to our waiter Lambros 👏. He guided us step by step with patience and a big smile, explaining everything about the stone-grill cooking method. Thanks to him, we enjoyed the experience to the fullest, stress-free and feeling truly taken care of. His kindness, professionalism, and outstanding service definitely deserve big bonuses!",Sep 2025,Friends,date_with_label
