rating,text,sentiment,date,trip_type,date_status
2,"We went to the Sunday market. Lots of people and sellers, nothing special to buy. I was expecting to find nice antiques and vintage, but there were very few. No need to go again. Keep your bag and phone tight.",負面,Mar 2025,Couples,date_with_label
1,"Piles of second-hand clothes, ugly 1 Euro jewelery and household staff. Only go there if you need socks, pajama and home pants - you can by all these things here at once.",負面,Jan 2025,Solo,date_with_label
3,"Famous Rome flea market, easily accessible by bus, very large market, very poor product level, attention to pockets and wallets",負面,Jan 2025,Couples,date_with_label
5,The traditional Porta Portese market has all the credentials to be a historic site of the city.There are many offers and many opportunities to do small “business”,正面,Dec 2024,Couples,date_with_label
1,Visiting Rome we wanted to make a jump to this historic Domenicale.Ci market is immersed in a thick bolgia of people and stalls with the usual things .Si every hundred stalls maybe there is one with some different piece but it is not worth it.After an hour I ran away. Perhaps the early hours of the morning with fewer people and a good sounding speed you can find something but to date I think it is indicated only for those who want to dress and has little ability to spend.,負面,Dec 2024,Couples,date_with_label
1,My dad wanted to go antique hunting but instead all we found was a mile long line of people with no spatial awareness going slower than a tortoise with a boulder attached to its legs thinking that they are getting a good bargain but what they are actually getting are cheap and tatty secondhand clothes. My mum and I on the other hand are slightly claustrophobic and there was no exit for several hundred meters.DO NOT GO UNLESS YOU WANT A CLAUSTROPHOBIC HOT 1 WAY IN 1 WAY OUT CRAP CHEAP MARKET!!!,負面,24-Sep,,unknown_format
5,"Incredible experience. We were surprised in every city we visited, including: Milan, Lago di Garda, Verona, Venice, Assisi, Florence and Rome. Rome is a true open-air museum. Beautiful, beautiful and beautiful city.",正面,Sep 2024,Couples,date_with_label
5,"All very beautiful, very nice views and the super cool market.. don't stop visiting.. very good offers from 0.50 .. would definitely go again",正面,Jul 2024,Couples,date_with_label
1,"Porta Portese was the characteristic market of Rome, a place that could not fail to be visited by tourists and frequented by the Romans. Today it has become a shabby place where you can no longer breathe the air you used to. In 90% of cases there are no longer Roman street vendors. You will find some stalls with good books, very low quality clothing and if you are looking for some good vintage vinyl you will come across perfect improvisers or pseudo connoisseurs, who are not such. In addition, it is incomprehensible why you cannot make purchases by credit card. Finally, for a bottle of water I was asked for 2 erects. Un vero furto! Saying I'm disappointed in what I saw is too little",負面,Jul 2024,Solo,date_with_label
3,"If you are into second-hand clothes. I'm sure there are treasures buried in some of the piles of clothes, but that's not my thing. Of the ""antiques,"" there were some stalls, mostly yard sale garabage items.  There were one or two stalls with furniture.  Otherwise, it is mostly the same linen dresses that are sold on about every street corner tent in Rome. Not worth the 45-minute walk, it took us to get there.  This does not need to be on your bucket list for Rome.",負面,Jul 2024,Friends,date_with_label
5,"I decided to go for a pleasant walk and visit the flea market once again after many years and perhaps find a bargain. As it started raining, my need for a bargain became a neccesity as my shoes were soaked and nothing back at the hotel. The shoe selection was excellent and I found a decent pair of runners for 12€. It was fun exploring the flea market even in the steady rainfall.",正面,Jun 2024,Solo,date_with_label
5,"A city that manages to bring together culture, architecture, religion and history in the same place in a vivid way. It is worth going for several days to get to know it.",正面,May 2024,Friends,date_with_label
2,Don't waste your time. Everyone has the same stuff for miles. Nothing worth the trip. Go spend your time doing something else,負面,Apr 2024,Couples,date_with_label
2,"Our visit to the Porta Portese market was a major disappointment for us. The goods on offer were mostly junk and poor quality for 1-5 euros... It was obvious that many of the products were cheap mass-produced items that offered little value, hence the low prices. The market was extremely crowded and you had to squeeze through the crowds. It was not for us at all. If you like junk and cheap goods, then you can go there. If not, then you can save your time, because it was far from the romantic ideas of a lively and cultural market. Disappointed by the quality of the goods and the crowded atmosphere. In addition, the streets where the market was held were in a neglected state. Garbage was lying around and the unsanitary conditions reinforced the impression of neglect and disinterest on the part of the organizers.Our recommendation would be to explore other markets in Rome that may offer a more pleasant shopping experience.",負面,Apr 2024,Couples,date_with_label
1,"On May 5, 2024, around 8 a.m., I was scammed at a restaurant in the Porta Portese market.1. The male employee in the photo said it was 2 euros per skewer and paid for it. (But I came back later and saw that it was being sold to other people for 1 euro.) 2. When I handed 10 euros to the woman on the left in the photo, she gave me 7 euros instead of 8 euros. (If you subtract 2 euros from 10 euros, doesn't that make 8 euros? 8 euros is one 5-euro bill + 2 euros + 1 euro. For 7 euros, you need 1 5 euro bill + 2 euros, which means they gave you one less coin. This isn't stupid, it's a scam against tourists.) The mistake started when the female employee handed out the wrong coin. I felt that it wasn't so. Because I felt she was checking to see if I noticed. This restaurant is a very bad restaurant that scams tourists visiting Rome. How many tourists have they scammed so far? I fought and yelled at the employee about the fraud. Therefore, all merchants and people next to the above restaurant are aware of the above restaurant's fraudulent activities.I can prove that my experience is not a lie.",負面,May 2024,Couples,date_with_label
1,"Terrible place, full of people, very crowded and hot. Full of trinkets and used things. Lots of people and a chaotic atmosphere.",負面,24-Apr,,unknown_format
1,Perhaps I should have read more reviews before going to what turned out to be one of the longest queues with nothing to see. It's an endless amount of stalls with 95% selling the same poor quality cheap clothing and accessories over and over. I wouldn't describe it as a flea market but just clothes market. There were just two refreshment stalls. We had a cheap coffee which was nearly all frothy milk and virtually no coffee. It was absolutely heaving with people which meant you couldn't even walk through it quickly.  Certainly the most disappointing thing of our whole trip to Rome. I strongly recommend you find another market experience elsewhere.,負面,Apr 2024,Couples,date_with_label
5,Giant fair with super cheap products (Flea Market)It happens on Sundays.The Fair is crowded.It is close to the Pirâmide Metro.Super worth the visit.,正面,Jan 2024,Solo,date_with_label
5,"Cool place, has somewhere to rest, take photos, several ice cream shops, cafes, the best shopping streets around. It's definitely worth the visit! I recommend",正面,Jan 2024,Couples,date_with_label
4,"I am often in Rome and it has been 10 years since I went to the market as it had become just a chinoiserie bazaar. Instead I found hundreds of stalls selling clothing, objects, books as old as it was 30 years ago. That market is coming back. Let's hope...",正面,Jan 2024,Couples,date_with_label
1,Only cheap clothes from China. Nothing to do with a flea market. It's a shame if you waste time there. Avoid at all costs.,負面,24-Jan,,unknown_format
1,"Highly inadvisable experience for anyone coming to Rome to visit. Only stands selling low-priced goods, very rare - two or three - those with some retro records: the Sunday market has lost all its charm.",負面,23-Dec,,unknown_format
5,"Amazing Gluten free pasta, focaccia. clams and pasta for my kids. Home made burrata. Amatriciana, dessert, wine. And the staff is so welcoming. outdoorseating is cozy and fun. Highly recommend for a great meal.",正面,23-Oct,,unknown_format
1,"A mile long dump, chock full of stalls selling absolute tat.If you’re in the market for a pair of cheap shoes made in a Chinese factory, or a cardigan in the middle of summer then this might be for you but if you expected to see an authentic Italian market bustling with interesting finds then you’ll be sorely disappointed.It’s one big straight line with no exits so once you’re half way in you’ve got to go the whole distance to get out. Why it’s so crowded makes no sense as it’s rubbish.There was one food stall, a hot dog van like you’d find at a terrible fun fair.If I could give it zero stars I would. An absolute waste of an hour of my life.",負面,Sep 2023,Couples,date_with_label
1,"I always seek out markets when I travel. This one was a disappointment. There is nothing local or authentic about it. There are piles of used clothes and purses and bunch of trinkets and shoes made in China. In this vast market, I saw two stalls selling “nicer” vintage clothing and a few stalls with vintage leather coats. I would never go back there.",負面,Jul 2023,Couples,date_with_label
5,"For a taste of the local culture, this was one of the best places I had visited during my stay in Rome. If you intend to go, you should try to visit on a Sunday morning.You need to bear in mind that this is not a pristine shopping mall where you can walk in and do your thing. :) This is a market with many small-time vendors, selling their food, used books, household amenities, clothes / shoes (some of which are used), etc. And at times, you need to haggle (better if you speak the language I guess, which I did a little). If you have the right expectations, this place can be super fun to walk around, if not buy something.I arrived in Rome on a Saturday, to my AirBnb and discovered late at night that my travel adapter wasn't working. I found new ones at Porta Portese the next morning. I also bought some pasta making tools, handbags, etc.",正面,22-Nov,,unknown_format
1,"What a disappointment! Low quality, poor selection, questionable salespeople - better stay away from this venue.",負面,22-Sep,,unknown_format
5,"If you're searching for a huge market, it's here! At Porta Portese find clothes, bags, shoes..all kind of items and in case of hungry find also panini italiani alla porchetta (pork)The whole area is situared near to area Testaccio  along the river Tiber and it's about 2 km long . There are both used and new items for sale.",正面,Sep 2022,Couples,date_with_label
1,There were only two booths with any vintage or even remotely antique goods.   Unless your looking for discounted cheap clothing or thrift goods avoid this market.   It wasn’t worth the cab fare over there. I was looking for antiques and found nothing in that category.   I did find a fabric vendor who had wonderful fabric that had Monet and Van Gogh paintings printed on them.  So it wasn’t a total loss but avoid it if your looking for real antiques,負面,Apr 2022,Solo,date_with_label
3,I was looking for more antiques and perhaps  better vintage vendors and what I found was table after table of very low quality bundles of clothing. I guess if you have seen everything in Rome and you have no other plans on a Sunday then it’s worth it.,負面,Mar 2022,Friends,date_with_label
3,"It had been maybe five years since we last went there.Over the years this flee market has declined a lot, once you could also find new items  identical to those sold in shops at lower prices. Currently there is a lot of poor quality new things or used stuff.Porta Portese, in any case, is a unique experience.The typical Roman characters of the stalls are no longer there, there are not even those who used to sell cheap lighters or garlic braids. Now they are mostly foreigners trying to make a living, hired by unscrupulous employers who pay them the minimum percent of their sales.This 17th-century gate, built with the expansion of the Janiculum ramparts, is in good condition and is very beautiful and impressive from the side of Via Portuense.It is one of the gates of Rome, built in 1644 to replace the older Porta Portuensis. It was built in conjunction with the construction of the ramparts protecting the Janiculm hill, an extension of the Leonine Walls to defend the Janiculum, commissioned by Pope Urban VIII of the Barberini family.When the gate was opened, however, pope Urban VIII was dead, and for this reason the coat of arms of the new pope Innocent X of the Pamphilj family was placed over the gate. It is the historic Roman Sunday market, where you can look for and perhaps buy everything, fashion street clothes with little money, find a sought-after vinyl LP, a rare stamp.You cannot pass through Rome and not browse the immense market and the Porta Portese stalls!Go for a look!",中立,Jun 2021,Friends,date_with_label
2,"Cheap, tacky modern stuff for the most part.A handful of good stalls but anything worth even looking at was overpriced for vintage.",負面,20-Oct,,unknown_format
1,Please don’t waste your time unless you are into junk- I mean low quality clothing and tacky worthless objects. We ruined our morning just to get there.Avoid!,負面,20-Sep,,unknown_format
2,"Market full of rags, nothing special and waste of time for tourists.There hundreds of stands that sell cheap clothes for cheap price",負面,19-Dec,,unknown_format
4,We took a taxi out to here cost 9 euro. Our plan was to perhaps spend a hour looking around and then leave. We spent 3 to 4 hours wandering around. It's a huge market perhaps not great quality and a lot of similar stalls but we enjoyed it. We talked and laughed and enjoyed looking at all the bits. It was busy. It was enjoyable and a nice way to spend a December Sunday morning in Rome.,正面,Dec 2019,Friends,date_with_label
1,"We went completely out of our way to go to Porta Portese based on reviews and normally love markets. This was a huge disappointment. Difficult to get to and impossible to leave, cost a fortune in taxis. The product was all the same, like trainer city! No variety, very poor quality nothing like any of the reviews. A total waste of time!",負面,19-Oct,,unknown_format
5,We hired e bikes and cycled here easily to see a bit of out of town Rome. The Sunday market was great of u love a rummage and a bargain. We got all our holiday tat and some bags and clothes for €1-€2. It was worth the ride although not a necessary in Rome it was nice to have the time to do something different. We found a great local Italian place full of families near by that did the best carbonara.,正面,Oct 2019,Couples,date_with_label
1,"This wins as the worst market I’ve been to anywhere in the world. It took us forever to find it but I almost wish we’d just stayed lost. This is a long, crowded row of worthless, low quality clothing, shoes, and other junk. Once you start walking there’s no way to get out except to turn around and retrace your steps.  It has absolutely zero charm. Do not waste your time!",負面,Oct 2019,Couples,date_with_label
4,"Porta Portese market on early Sunday morning is a lively place. There are lot of clothes, shoes, handbags, food and even antiques on sale. If you can bargain, try your skills. Even though prices are very low.There are not too many places to get a cold drink. Please remember to have a water bottle with you.",正面,19-Aug,,unknown_format
3,"We went in August.  It was very hot. Perhaps the heat kept some of the vendors away.  It was not as vast as the reviews suggested.  A few good bargains but nothing extraordinary.  Two food vendors.  Again, perhaps many were on holiday.",中立,19-Aug,,unknown_format
5,Walked round the whole market from clothes bags and shoes section which wasn’t that interesting The main area where you can find interesting items is in the middle section where some stalls sells old coins and currency as well as watches and clocks Spend a good two hours and to properly go round you will be walking close to 7km plus Happy hunting !,中立,Aug 2019,Solo,date_with_label
2,"Really? Don’t bother. A few kilometres ofChinese-made rubbish, fake shoes and piles of aeons hand clothes. The same as any other market in Rome (such as the small one by Ostiense Station every day of the week). There are much better, real flea / antique markets in Rome than this.",負面,Nov 2018,Friends,date_with_label
5,"Lovely little marketplace with various vintage clothes, trinkets and collectables. If you're looking for souvenir then places like this are much more tasteful.",正面,18-May,,unknown_format
5,"Loved this market. I caught the bus from Termini. I bought a bus map so was simple to find correct bus. The bus dropped me off over the bridge, then it is a short walk to the market. Hundreds of clothes souvenir and antique stalls with good prices. Take cash and wear comfortable shoes.",正面,19-Feb,,unknown_format
5,I make a point to go here whenever I can-- been about 10 times in the last few years.  There are a lot of things here however I suggest you get there early in the morning as the crowds by late morning/ early afternoon are hard to negotiate.  There are several areas to find antiques and depending on your entrance to the market(I used to approach it from the main entrance however prefer to go right to the antique area off of Circonvallazione Gianicolense)--it is a little further to walk (I stay in Trastevere) however I find it easier to negotiate from this entrance.  The vendors are a lot of fun (just be nice) and there are some real treasures to find just take your time-- it is sensory overload.,正面,May 2018,Solo,date_with_label
3,"My wife and I made this I must stop during a recent trip to Rome. It has similar things to other flea markets but there are large displays of leather coats and shoes. It is massive, at least 3/4 of a mile long. Just when you think that you're done you see that it branches off to other streets. It was a little disappointing because we were hoping to get some very different older decorative pieces with an Italian theme. Did not have to be expensive or rare, just different. This market did not seem to have that. Many vendors had the same thing and an occasional table of older stuff. Despite all of this, it was a great time but be aware of your wallet all the time. That applies to all of Europe but especially to this venue. Just use common sense",中立,Mar 2019,Couples,date_with_label
1,"Mostly new cheap and tacky stuff. Not antiques, crafts or local merchandise. Don’t think you’re going to find interesting old European things to buy. Lots of t-shirts etc -  stuff that can be found on street corners.",負面,Mar 2019,Couples,date_with_label
5,"Huge place , full of everything. I loved it. it is a must. Everyone can find something to buy. Very crowded but still if you love markets it is a must.",正面,19-Jan,,unknown_format
3,"Not a very interesting flea market almost exclusively new and used clothing.  It IS big.  I was expecting antiques, local food along with the clothing. My mistake....",負面,Jan 2019,Friends,date_with_label
4,"It is only on Sundays, you can walk here or take a bus, to Porta Portese, from here the Flea Market starts from there, lots of clothing, it used to be different, but still a few items worth buying....your choice if you have nothing else to do.",中立,Dec 2018,Couples,date_with_label
5,"Located in the Trastevere district, this is a huge flea market where you can find everything from antiques to knick-knacks, from gastronomy to clothing both new and used. With the right attention and a little luck you can find good deals.",中立,Dec 2018,Couples,date_with_label
5,"This place is huge! If you are looking for antiques and bric a brac it's here but in one smaller section near the far right side of the front of the market. It used to be all antiques before. I found a great antique Sicilian puppet that I bargained from 20 euro to 15. Don't forget to bargain. The clothing is eh in price and a lot of secondhand stuff, the touristy shirts here are a great deal at 5 euro each. They sell furs and leather that are secondhand, food is available (it's better towards the end if you can find the end). You can spend hours here...",正面,Nov 2018,Friends,date_with_label
5,"If you are in the Trastevere area of Rome on a Sunday afternoon you must visit the weekly flee market. The seller booths go on forever and while I did not buy anything of any consequence, I am sure there are real bargains to be had for shoes and women clothing and little trinkets and the like. And you may find a true treasure. Regardless, it was fun simply to walk around and browse.",正面,Sep 2018,Solo,date_with_label
5,"This is a Sunday market selling pretty much anything you can think of(clothing, jewellery, furniture, second hand, bags, homeware, etc). I went at 9am and it was starting to get busy, by 10 it was very busy. A good place to pick up souvenirs and cheap clothing. My favourite was the scarves, what they sell in central Rome for 5-10 euros, you can get here for 2. Don't forget to haggle though, got a handbag for 15, starting at 35. Rule of the thumb is how much you are willing to pay for it and lets see how it goes. It is a selection of fakes and the real thing, priced accordingly. Tourists and locals visit likewise.  A few food stalls too so you can grab a bite. Police is visible so it is safe(obviously watch your valuables). I personally loved the hustle and bustle of the place! And every stall holder i spoke to had a reasonable level of English(my Italian is non-existent). Worth a visit!",正面,Sep 2018,Solo,date_with_label
1,The worst market I’ve ever been to . If your looking for secondhand collectables don’t go here what was here was over priced and poor quality unfriendly sellers a wasted morning,負面,Sep 2018,Couples,date_with_label
4,"This is a really big market visited by locals. They sell cheap shoes and clothing, nothing special, but the athmospere is nice. The sandwiches and pizza’s are good and not expensive.",正面,Aug 2018,Couples,date_with_label
4,"very large market. did not go to buy stuff, however I enjoyed the atmosphere and bought scarves, watches and costume jewellery.  there are hundreds of stalls.  it is fun to walk around the market. we walked for two hours and enjoyed the antique section.  the place is crowded and in summer it is hot. beware of pinpockets.  also note that there are various entrances to the market.  we entered from the arch.  it was crowded and found stalls selling clothes, accessories, bags, etc.  continued walking and at the very end of the market there is an antique section.  the market sprawls into some parallel streets.  i lost my bearings and therefore it tool longer than expected to exit again from the arch. overall quite a nice experience.",正面,18-Apr,,unknown_format
3,"This market is only good to find very cheap souvenirs, nothing more. There is nothing Italian about it, it’s just full of tourists and immigrants.",負面,18-Aug,,unknown_format
4,"This market is incredibly big! We loved it as it contained the usual things - shoes, clothes, keyrings, bags etc. Also has a bit of food, although we did not have any. Prices are cheap and there is certainly something for everyone. It took us over two hours to get through it and have a look around. Outside there is parking (an elderly man takes €2 to mind your car less then a minute walk from the start of the market) it is very handy. I would recommend popping by to have a look if you are around.",正面,18-Aug,,unknown_format
4,"Came here for the benefit of my 3 teenagers and ended up buying 4 super lightweight summer shirts for €10 - bargain! The girls bought stuff too. As others say, it is very very big - the stalls all stretch out along one very long road. They’re all rather similar, selling mainly cheap clothing, not much else in terms of bric a beach and certainly no antique type stuff that you get in other flea markets. Some food stalls along the way and further in some cafes kind of ‘behind’ the main market. Although shaded, it was incredibly hot when we went - hot even for Rome in August - so take some water. We were careful about thieves having been targeted unsuccessfully at the Forum, but I didn’t notice anything obvious. Worth a visit if you just want some cheap clothes bargains but not if you’re expecting to be entertained by curios or to find something you didn’t expect. And great for men’s summer shirts, in all sizes.",中立,18-Aug,,unknown_format
4,"170 bus gets you straight to Porta Portese. Sunday market is bustling. Even in the middle of Summer, hot as it is it's worth the Sunday visit. It's really  a bit of everything. Lots of clothes to ruffle through at very cheap prices and good bargains to be had. Shoe prices good but check carefully. There are lots of the same same stalls and prices vary so do some comparisons. Worth a trip.",正面,18-Jul,,unknown_format
1,"Cheap and nasty shoes and clothes... was hoping to find souvenirs, local produce and baked goods, and maybe some interesting antiques/vintage stuff.  One long road in and through, and through, and through.  It’s an endless row of the same items.  In addition, it’s a waste of a 10+ Euro taxi ride to get there.  The best part of the day was a performance by a “one-man band” playing old Bowie and Depeche Mode covers, but that wasn’t worth the time/money to go!  Give this one a miss and enjoy wandering through some of the back streets instead!",負面,18-Jun,,unknown_format
5,"I am an avid charity shop fan/market goer and this is one of the best places I’ve been too with the best and lowest prices I’ve seen compared to a lot of places. Most of my clothes are brought from these type of places and I resell profitable clothes if they don’t fit me on my online shop. You need a lot of time and dedication like with every market and charity shops to find the best pieces here. The market is huge and goes on forever, luckily there is a McDonald’s near the other end if you start from Porta Portese team stop to feed the famished by lunch time. I bought some winged sun glasses, a champion sweater top and a Very nice Nike tshirt all for under a tenner. There are some horrible fakes, knockoffs and some useless stuff but thats what makes a flea market all the more fun! You can definitely haggle if you know how! 100% worth a visit if you a market fan like me.",正面,May 2018,Couples,date_with_label
2,"We had a couple of hours free and our friends wanted to go, so why not.It’s a huge market frequented by locals and tourists alike. You have to look carefully, know your prices and bargain.  Most of the shoe stalls were selling end of season, seconds or surplus stocks. One stall had nice shoes going for €20 however the majority of shoe stalls were so so (can you tell my focus was on shoes ?) and in some cases selling outright damaged stock.I bought some nice ‘made in Italy’ silk ties for €1 and some good quality Italian pants.Wouldn’t go again as there are lots of shopping opportunities around Rome with prices not that much more, but better quality.",負面,May 2018,Friends,date_with_label
1,Terrible market if you can even call it that... more like a really bad good will... everyone selling second hand clothes and no way in or out once you start ... DO NOT BE FOOLED DONT GO!!,負面,May 2018,Friends,date_with_label
5,"I have been two or three times but only left with stuff today. This is probably because it's a large market and it just so happens that today the cheap clothing (50 cents to 2 euros, lots of choice too) was at the front of the market (by tram 8's Porta Portese stop). I have trouble finding jeans I'm willing to pay the high street price for but found some levis and a pair from a different brand today for a total of 2.50EUR. Not bad :)There's also a well placed cash machine near the start of the market too, just to the right as you enter from the Porta Portese tram stop mentioned above.",正面,Apr 2018,Friends,date_with_label
4,I love Italian street markets and this one did not disappoint.  It goes on and on and actually I do not think we saw it all.  Prices were very reasonable and merchants were mostly willing to negotiate.  There wasn't much in terms of high end items but if you are looking for bargains by all means check it out.,正面,Apr 2018,Couples,date_with_label
4,"This flea market is quite uniquely European!  The predominant objects for sale are vintage clothing, but one should keep in mind the quality of Italian wools and knits, and how these items are unaffordable today, and really last!  There are also many really interesting household objects one cannot find in the US.  In addition, one entire section has quality new items, such as cashmere sweaters, and locally sourced handbags and luggage.  This is not your typical Chinese product flea market, although there a few of those tables.  Rather, it is an immersion into the historical, material culture of Italy, and it is vast!",正面,Mar 2018,Couples,date_with_label
4,"This was a great flea market, but don’t go expecting anything but a flea market.  There are booths with cheap Chinese stuff, but also vintage clothing, antiques, Peruvian clothing, Indian jewelry, shoes, purses, souvenirs, and lots of fur coats.  It seems that the best area for antiques was well into the center which took us a good hour to get to, albeit we were shopping. (did I mention HUGE) We gave up after seeing the market extended past the major cross street.  Even turning back we logged a good two miles on the Fitbit.We came prepared for pickpockets, stowing anything valuable safely away, and keeping bags in front and had no problems.",正面,18-Mar,,unknown_format
2,"In the lonely planet guide book to Rome this was rated as the best market in Rome, however in reality this was not the case, we were expecting to find souvenirs and some decent leather goods, but 95% of the vast number of stalls were all jumble sale type stalls of very cheap clothing household goods and cheap and nasty handbags and shoes.If you are inclined to spend numerous hours searching for the odd decent quality handbag or purse this maybe for you, for me definitely not one for the tourist, more for the less well off local.",負面,Feb 2018,Couples,date_with_label
3,"If you are a tourist you may never learn about this street bazaar. It is the market of the rare eternal collectors and the locals who know it's there every Sunday. It is located in an area that escapes from the classic touristic Rome, so if you are a visitor in the city and you haven't read this post, you may never hear about the Bazaar. The Romans don't advertise it like the Colosseum, Pantheon or Piazza de Spagna. Everyone knows what they need. Besides bazaars were never for everyoneThere are a lot of clothes but unfortunately they are more expensive for tourists, if you are a native you have great offers because speaking italian is a great way to doing an offer :( I have write some more at my blog EuframeCheck it!",中立,Jan 2018,Friends,date_with_label
4,"After reading the reviews we were a little hesitant about going to this flea market, but we decided to take a chance. We went early Sunday morning to avoid the crowds. It wasn’t that bad! No one tried to pickpocket us, we were fine. It was a little cheesy but that’s what a flea market is. We found a couple of things and got good bargains after haggling a bit with the merchants. Why not check it out?",正面,Dec 2017,Couples,date_with_label
2,It’s huge but it’s a lot of imported Chinese crap. We only found a few booths that were unique items and it was a bit frustrating in the end. It does look like there are many parts to it but by the time we found more what we were looking for we were spent and they were shutting down for the day. I wish we went to the other flea at the piazza da popolo,負面,17-Dec,,unknown_format
