rating,text,sentiment,predicted_sentiment
4,"something for everyone here. There's lots of car boot style stuff and junk and general market things like fruit and veg and cheap clothes but there are also expensive antiques, antique Italian  furniture, great bargains and gems to find and lots of retro as well as new stuff too so it is worth a look around. It is an interior designer's dream ace to pick up a bargain, but you must haggle. Also as a tip, decide the max amount you will pay for something and stick to it and get the money out and ready to count it out in from of the traders as they are more likely to sell things at a bargain when they actually see the cash in from of them. The market is usually open from dawn to 4pm ish every Sunday and is in the Trastevere area, over the bridge the Vatican side of the water, just south of St. Peter's  on the map. About 10 to 15 mins walk from St. Peter's. Keep your money, bags and valuables close to you though as it's renowned for pick pockets. Also take some bags with you in case you buy anything as often the sellers don't have carriers to put your purchases in.",正面,中立
4,"I love a market and have seen quite a few in my time.. If you really expect to go to any market nowadays and uncover genuine bargains, antiques and treasures worth passing on to your children, you will be sadly disappointed.  I often think I can imagine people working till the early hours of the morning before the market, attaching dust and grime on to the ""antiques"", or scratching them to make them look genuine.On a Sunday morning, you can take a long walk to Trastevere, over the Tiber River, or take a number 8 tram to reach this market.  I thought it was much better than Campo de Fiori, also in Rome, El Encants in Barcelona or El Rastro in Madrid and spent a couple of happy hours here.You can buy new and used clothing, bags and leather goods, costume jewellery, piles of junk pretending to be antiques and curios, shoes, shoes and shoes, furniture, computer and smartphone accessories.  The market is vast and there is a big crush of people.  Heed the usual warnings about pickpockets.In general, the traders are good natured and some are roguish.  One of them spoke to me in French and offered to reduce a pair of pants labelled at 48 euros to 40 euros, ""because you are French"", he said.  I had already seen very similar pants on sale in downtown Rome for 25 euros and anyway, I'm not French.  But he was so convincing, that it almost bought them.  I couldn't be sure if any of the smartphone products, such as portable chargers, were duds or not, so was wary of buying any.  Afterwards, I strolled the long walk in to the city, stopping for a lunch of grilled calamari at one of the many food outlets in this district.I thought it was a morning well spent.",正面,中立
4,"I've read a few negative reviews on here - not sure what you're expecting from a market if you hated this place. It is exactly what a market should be.Yes, there's cheap stuff.Yes, there's fake stuff.Yes, vendors will always try to get a few extra dollars out of you. They're trying to make money!As in all marketplaces, be prepared to walk away and the price will come down. I had fun, found exactly what I wanted - pair of shorts, some scarves, a hat and a shirt for my wife, and a cap for me. All up, three hours there cost approx. €15 and we left happy with our purchases.It's a market - a big market, not a boutique mall. Be prepared.",正面,中立
4,"At Porta Portese you can buy almost everything, from Made in China-style cheap stuff, scarfs, shoes, clothes (used from 50 cents and up, and new), vintage items, bags, makeup, fake and real jewelry and much more. A lot of stands have the same stuff, and the market is BIG!Make sure to bargain (you don't want to find the same item at a lower price later), hold on to your valuables, don't bring money/phone ecc if you really don't need them, do bring coins... Here, cash is king. Don't forget that you can take the train to the Trastevere station and then walk 5 minutes to the market. Most of the old, cool, vintage stuff are at the via Ippolito Nievo/Largo Francesco Anziani/via Ergisto Bezzi intersection. If you want vintage or used stuff, come early. Like 6-7 AM.Tip: Bring a big shopping bag because the ones they give you rip easily. And you'll end up carrying 5 ripped plastic bags.",中立,中立
4,"4 of our 6 traveling to Rome spent about 2 hours traipsing through the hundreds of vendors.Very much like most American flea markets this one featured inexpensive clothes, both new and used, cheap electronics and a lot of inexpensive souvenirs.  There ARE a few dealers selling higher end items, especially books.  They are few and far between.  Most interesting was the 3 card monte con game being run in plain view of the several police patrolling the flea market.The market is probably close to a mile long so be prepared for a long hike if you want to explore everything",中立,中立
5,"We got tipped on this market by a local guide. You can probably buy almost everything here and most prices can be bargained down (to our experience). Dont expect too much from the goods sold here, but take it as an experience. Due to the sheer size of the market, you will probably not have time to see it all.",中立,中立
4,"We came early. About 8:30 AM. It was perfect timing. The sun wasn't that bad until 10 o'clock. It wasn't crowded yet, so we could walk freely. Porta Portese is huge. Sells all kinds of things: new and used; modern electronics and antique stuff; stolen phones and original brand perfumes; souvenirs and home essentials. If you forgot your charger at home or the SD card in your camera is full, 5 euro and you're fine.My advice: don't buy that new and cheap Chinese stuff (clothes, shoes, underwear). They have a lot of it around the city and it's all the same. You can find something used instead and it's gonna be unique. Try looking for a nice fabric like silk or linen.",中立,中立
4,"I overheard a person comment ""where do they get all these worthless items"". Yes, there are lots of worthless items buy lots of good items as well. You really have to take your time searching. If purchasing clothing.. Most of the clothing tables are a mess. I searched a few for a couple of minutes each and always found something nice in different sizes. I did not purchase much but I managed to get a very nice vintage purse for 10 euros. I walked away from it the first time because the price was not right. I purchased it at the lower price almost at closing time and on my way out. Don't hesitate to make an offer. The flea markets where I live in NJ are the same so I was not expecting to find much more than I did even in such a huge place. Flea markets are just that and not high end superstores.",中立,中立
4,"This is not really a flea market, but a cheap jewelry, cheap accessories, clothing items and souvenirs market.There are a few shops that sell lamps and other flea market stuff but they are few and some are not on the main street.This place is huge and it takes a good 2 hours to walk all the way to the end of the stands. We had the time and the girls wanted to get some souvenirs for their friends. All in all we had a nice time just walking around, haggling and buying some junk. Go if you like this type of pass-time; Don't bother if you are on a tight schedule or if you are looking for antiques.",中立,中立
4,"Take bus #75 from termini station and it drops you off directly in front of the gate. Be prepared for crowds. Mostly clothes, handbags, costume jewellery and the odd bits and pieces. Goes on and on for what seems like miles and miles. Arrived at 12.00 and left when closing at 14.30. Only need one visit. Lots of local Italians were shopping however strangely 80% of the vendors were not local at all. Came away with a few bits and pieces for the children. If you go remember to bargain and walk away if the price is not to your liking - not worth the aggravation. Was fun but very very busy. Note - we did not see any toilet facilities.",中立,中立
4,"This market is nice; if you are looking for cheap clothes, shoes, bags, (ehh well...everything) you will find it. Can't say anything about quality though. It is nice to walk around, have a look, have a talk, watch your pockets....and wander away when you're tired of it.",中立,中立
4,"so crowded, but we've bought souvenirs for 1 euro, which was sold in other places at 3 euro. Also there is a range of vintage bags from 3 euro till 50 (for the designers bags, as celine, & burberry), the books where nice, just ask for Marco Polo who sells great arts books for just 2 euro the book.",中立,中立
4,"huge market with all kinds of stuff, quite cheap, very busy and beware of pickpockets. ALways good to buy some presents.",中立,中立
4,"I've walked the hopeless, energetic, frustruating, suffocating and fun crows of Porta Portese four times. I might not have returned quite so many times had I not had new friends or relatives with me each time. As there were first-timers on each visit, we just had to go to Porta Portese. Remember that it is only open on Sunday mornings!This humongous flea market is comprised by a couple of main streets and an assortment of small side-streets stock full of sellers. Before going there, it would actually be a good idea to purchase a good enough map of Romeand to memorize the layout of the place. The only decent one I know is the 1:12500 map by Touring Editore – a priceless companion to any traveler in the city, and it's dead cheap! (My original copy is from 2003, a battered loyal guide that gave way to the new expanded edition that I bought in September 2012.)  This will make it much easier to walk around and not miss the most interesting stuff on the small streets. The main avenues are full of cheap textiles, gizmos familiar from shopping channel, stolen hygienic products and cigarettes resold as supposedly legit et cetera. The antiques and miscellanea are elsewhere.I'm actually grateful to a friend who had prepared thus and showed me a few streets I hadn't seen before, even though I had been there three times! There's no decent food sold at the market as far as I know, which is a shame. Decent falafel, but one doesn't come to Rome for falafel.",中立,負面
4,"Opens at about 9am, shuts down at around 2pm. I caught the number 3 bus (stops Viale Trastevere) from/to Manzoni. The bus also goes past the Colosseum.I had a lot of fun at the market. But then I also really like open air markets. Got a leather belt, hat and sunnies for â¬15 all up. Snacked on a panini for â¬3. It's nothing special considering everything there is to do in Rome, but I had a free Sunday morning and it was worth it for me to check out.You have to haggle with the shop keepers, and that was a lot of fun. English is doable, but I happen to know Bengali (most of the people working there are from Bangladesh) so that made it easier since I can't speak Italian.I say check it out if you've got the time and if you like buying things cheap.",正面,中立
5,"It took a little finding, but if you take the No 8 tram from Largo Argentina ask someone when you are say 4 stops past the Tiber: ""Porta Portese??"" [POR TAR POR TAY SAY?]. There is a stop right at one edge of the market. Those reviewers disappointed by the market may have taken the wrong street, there are a couple of less crowded less interesting areas.AND GO ON A SUNDAY! Not open other days.There are, in addition to such new items as top Levis with labels upside down or wrong size, for next to nothing, new leather bags, and a wondrous array of used garments (great light-weight gifts to take home) there are some serious old or antique items including books, prints, maps, glassware, etc. As the items get more 'antique' and as the end of the market morning, haggle hard (preferably numbers in Italian) expect vociferous and lightning fast exchanges, and if you reach a conclusion on price, do be a good person and buy the thing. Nothing ruder than chiseling tourists who walk away after the bargaining, spoils the process for others.The market is very crowded, wheelchairs only for the brave with company!There is food available from stalls in the market. Or cross the viale Trastevere (tram route) and go a little further uphill to find interesting eating places.OR, exiting the market at Porta Portese itself, upstream end, by the river, cross the bridge and ask your way to the Testaccio market, excellent food market off the tourist routes. And from Testaccio an excellent walk back to the centre via the Circus Maximus, etc.",正面,中立
5,"Every Sunday from 7am to 2pm, hundreds and hundreds of stalls, selling everything from dolls to clothes to antiques to coins to fake designer purses to jewelry to electronics and everything in between.  Bartering is a given, get ready to sift through a bunch of crap to take home a couple awesome treasures.",中立,中立
4,"Visit itself rather short, less than an hour is enough; structure still in perfect condition and wonderful from an architectural point of view.You waste time especially waiting in line to buy a ticket for € 5 at the totems near the entrance: a lot of crowds, to which is added the one always present in the square.",負面,負面
4,"This was an interesting tour narrated by Rick Steves, which could have been downloaded regardless of paying for the tour. However, given the ticket line, it was good to have purchased the tickets in advance so we didn’t have to wait.",中立,中立
4,"We arrived at 7:30am and there was no one around, great for external pics. Had to wait for opening. Do not eat or drink in the places in the piazza  we did food was horrible and expensive  bit needed the toilet.Going inside judt crazy, loads of people, but enjoyed the audio guide - an incredible buiding.",負面,負面
4,"The Pantheon fantastic of course, but the time to observe it guided is very little and inside the guide can not speak, better to do it alone.",負面,負面
5,"A small building, only one room but there are quite a few things to see in there. We had an audio guide which definitely helped. The gift shop had run out of guide books which was frustrating as we would have liked to learn more about the history of the building. We bought skip the line tickets which was a good idea as the queue to buy tickets was very long.",中立,中立
4,"We walked around Rome and passed the Pantheon, but there was such a queue to the entrance so we skipped going in. We walked around and looked from outside.",中立,中立
4,"entry had 5.- pp. Very nice but we're going around fast. Pretty from the outside, too. There can be people so plan time.",中立,中立
4,It's a pity that the Pantheon costs admission in the meantime. It would be nice if you could continue to see this magnificent structure for free.,負面,負面
4,Very crowded place as the square on which it is located is quite small. It is worth visiting only if you have never seen it and if you have several days available.,負面,負面
5,"Not my first visit to the Pantheon but always worth seeing. Queue to enter was quite long, perhaps 30 minutes, and this is a function of process. Tickets have to be bought from a touch screen and everybody has to enter their name and e-mail which is tortuous. Last time I went you gave them €5 cash and walked in. This rush to digitisation has to stop. It is not helpful. The site itself is fascinating although, personally, I would rather see it's true Roman historic side rather than it.misappropriation by the Catholic church. It is, however, a must see attraction",負面,負面
5,"Via Tiqets.com we had ordered tickets in advance: fast line and audio tour. When we got there, no one from this organization was to be found. Despite emailing, texting and calling....no contact. But what I'd like to leave you with: stand in line on the left. Pay cash €5 and you're in in no time. Our experience was that this queue also went faster than the queue of all people with pre-purchased tickets. I just don't know if you can still buy an audio tour inside if you're interested. It is worth taking a look inside at the design, paintings and sculptures. Our money, incidentally, has now been refunded. Without apology. It's too bad.Later our money without explanation",負面,負面
5,"Loads of people in the mid morning , and it was closed to the public until 12:30 because of a mass. I have been inside before and it blew me away before. Go c early to avoid crowds and if you can, hope for a sunny day so that you catch the ray of light inside",中立,中立
5,"Tip # 1-Forget buying tickets in advance. I tried to get advance tickets online from Canada from the official Pantheon website which was a total disaster. After 4 unsuccessful tries, I gave up.  Tip # 2-Avoid the first Sunday of the month (since most museums are free for Italians and the lines can be very long), instead we showed up on a week day in November and waited 10 minutes in the cash line ( 5 Euros per person) and got in. All the other people who bought tickets in advance waited in longer lines. Basically, don't bother with advance tickets. Once inside you can stay for as long as you like. The Pantheon (an architectural wonder) is totally worth seeing. Tip # 3-Watch Manuel Bravo ( an architect) on You Tube for his in depth explanation of the Pantheon. His videos about various ancient buildings in Italy were very educational and probably provided more information than some guides.",正面,負面
4,"The queue to get in is huge but it moves at a good pace. While the place is impressive to see there are not many places to stop at, it is just a circular room with statues and carvings in the wall. The guided tour points out the history about several things which is interesting to learn.From start to finish it wont take long.",中立,中立
5,"In addition to being a historical work, where there are levtombs of the Fathers of the Fatherland, the Pantheon is also a great architectural work, with its large dome. Endless line, unfortunately",負面,中立
4,"We arrived at another tour book attraction. This is the famous Pantheon. However, we are just the appearance, and everyone is knocking in front of the door even ""to this tour"". The All-Temple, an ancient Roman temple dedicated to the gods in Roman mythology, later turned into a Catholic church and renamed the Church of the Virgin Mary and Martyrs (Santa Maria ad Martyres). Roman mythology and Greek mythology have a lot in common.The Holy Temple belongs to the ""B-class Temple"" in Rome.",中立,中立
5,"It's a mess about the queues. If you go without entry and you have to pay there is the queue on the right most where the screens are. Then they make you stand in another line to get in. Taking this off, once you get in, you don't want to get out. It is brutal to see everything inside and you are left thinking how far they were able to go to build such a monument",負面,負面
4,"Purchased tickets online , we had to queue to pick up the “real” tickets at an office about 10 minutes away. Beware that there is a line so go in advance. Although the reservation stated that the audio guides were delivered inside the Pantheon, they were delivered to us in this office and at the end of use must be returned to the same place.Another thing to report is that the skip-the-line priority ticket is not really skip-the-line.... you wait in line for everyone who like you has the same reservation. Actually the people who wait impresses but with a little patience you scroll pretty fast (we waited about 45 minutes on November 01 but believe us, we thought we would stay there at least a couple of hours). It is also possible to enter with a ticket purchased locally. The church is very beautiful and characteristic and is used for functions so you have to respect silence and order. The audio guide helped to understand the story and the content. Duration: 45 min - 1 hour. Recommended",中立,中立
4,"The building is impressive and if you know the history of how it has been built, even more. However, despite its spectacularness, I’m not sure it’s worth 1 hour of queuing and paying admission, even if it’s only 5 euros. In Rome there is much, but much to see",中立,中立
4,"of all the Roman monuments, the one I wouldn't forget and this one. First, it should be noted that queues could discourage more than one. The staff is helpful but uncompromising. You might think you're smart enough to take your ticket with the automatic machines availableq; alas, once you have the ticket in your hands, you have to join the queue of those who have a ticket. I therefore recommend choosing a line that is long, of course, but that goes through a counter run by one person. Payment (€5) by credit card only.The interior is impressive and it is worth taking your time to read the various infoamtions. Tomb of the painter Raphael and two Italian sovereigns.",中立,中立
4,There are too many tourists to watch slowly. I only saw the exterior. I think it's better to be very careful about pickpocketing because there are too many people.,負面,負面
4,Very impressive building and well worth the trip. To get in was very confusing though. To the left side of the entrance are 2 lines. You need to stand in the outermost line to buy your ticket from a machine. Then you move to the innermost line to get in. There are very few signs and tourists were asking each other what they were supposed to do.,中立,中立
4,"A 2,000 year old Roman temple that became Catholic around 600 AD. So the top while unique with the rotunda or dome, the rest looks like any grand church in Europe",中立,中立
5,This was our second time here and I would say that we spent most an hour around might even be a stretch. Think you can get through this in 30 to 45 minutes.,中立,中立
4,"I pre booked tickets via a website called Oh my guide! Which seemed to be the official website and as pre booking was recommended I thought it was a good idea, until we arrived; our tickets appeared to be for a guided tour and cist 15 euros each, entrance is only 5 euros so ripped off straight away.  The Pantheon staff out front who were checking tickets were so rude, saying these tickets were fake, not valid for entry & needed to be collected at the Oh my guide shop, which they claimed to not know where it was even though they said it was 2 minutes walk away!!! We couldn't find the office so as we had other things booked we went back the next day, with help from a free map we picked up along the way we eventually found the office who admitted they are a separate company and that Pantheon staff don't like people using them, and that all our ticket was for was for entry and that it's not a guided tour. I managed to get our entry tickets out if them but the shop actually took us about 3 hours to find which was a waste of time and money and took the enjoyment out of visiting a beautiful building",負面,負面
5,"Stay away from the ice cream shop in the corner whşch charge 15 eur for one icecream , come on! İn trevi and evrrywhere it is 5eur only and much better taste",負面,負面
4,It’s a beautiful and well-preserved building and also very crowded. Perfect timing to visit is crucial. Otherwise immerse yourself in the wave of people inside the Pantheon.,中立,中立
4,"The Pantheon in Rome was built by Emperor Hadrian around 2,000 years ago, around 126 AD. Before it was converted into a Christian church, it served as a temple dedicated to all the pagan gods of ancient Rome. Today, the Pantheon also houses the tombs of several iconic historical figures. Later, it was consecrated as a Christian basilica and dedicated to the Virgin Mary.Raphael (Raffaello Sanzio) (d. 1520) – The world-renowned Renaissance painter and architect. His tomb is marked with the inscription:Here lies Raphael, by whom Nature feared to be outdone while he lived, and when he died, feared she too would die.We had the fast track ticket which we picked up the day before and our time window was between 12- 1pm. We reached there by 1 pm and looked over the temple within 50 minutes. There are no WC/ toilets near the area expect from the few resturants  that provide it for their guests but many of them were unclean.",負面,中立
4,"Don't both with the skip-the-line tickets. If you arrive around 9.30am or 10am, you can walk right in and buy a ticket. In fact, the queue for online tickets with audio guides, which you have to collect at an office about ten minutes away, took longer to move than those turning up on the day and paying at the door. Just get there early. When it opens, there is a bit of a rush. But by 9.30am, it's calmed down a lot. Just don't go after 11am expecting to walk in. You'll be too late.",負面,負面
5,It was the largest dome in the world until the mid-19th century and remains the largest unsupported concrete dome in the world. Roman engineers achieved this thanks to a well-designed design and the choice of material: Roman concrete.,中立,中立
5,"We arrived on foot from the Trevi Fountain, we took only 8 minutes walk from each other. Arriving at the pantheon, we thought we would not be in line because we already had the tickets in hand, but we still had to get 10 to 15 minutes in line. Inside the pantheon we fought space with a crowd. The place is very beautiful, but it is for a quick visit.",中立,中立
5,Every time I come to Rome I can't stop not passing him. The majestic. Too bad it can't be visited freely like it was a couple of years ago.,中立,中立
4,The cost is 5 euros but it is usually quite crowded and the queue is long. It is worth visiting. The outside is already worth seeing.You have to be careful abroad with the many scams. There are many people seeking signatures through deception. There are Africans who greet you to scam you too. Be careful with all that and with the pickpockets.,中立,中立
5,Tour was good but don’t go on Sunday mornings as Mass will make it hard to hear guide. Fast track can be achieved by buying a ticket online. Tour line the same as solo online buyers. Small church so buy online ticket and download app for tour information and save your money.,中立,中立
5,"Huge, beautiful, Like everything else many people! And still a mess to get home despite the cuts.",負面,中立
5,To do with the audio-guide that gives you relevant explanations one about the Roman building that remained as at the time of construction,中立,中立
5,We thought the Pantheon was amazing. Absolutely spectacular and well worth a trip. We had booked tickets in advance via trip advisor however we felt this was unnecessary. The booking arrived in my email with “click here for tickets” that I had downloaded. However these were not admissible at the site and we had to walk back 5 mins to collect the tickets before we could enter. Tickets were easily available and much cheaper if you pay on arrival instead. We had also paid for an audio guide. The guide was excellent  but again we could have scanned the QR code with our own phones and accessed the same guide this way.,正面,負面
4,"Today, it is still a huge crowd of tourists.Tourist attractions across Italy are overtourist.The Pantheon appears to have been eventing.",負面,負面
4,"An enormously grand church whose outside sits majestically in the surroundings. It's exterior is far better than the inside, which is now charged 5 euro per person. Perhaps better on a rainy day to see the water pour in through the open ceiling but fairly mediocre otherwise. Won't spend much more than 30 minutes. The outside ticket vending machine doesn't need to be used as there is a ticket office inside",負面,負面
4,"Be wary of those who offer to skip the line at ridiculous prices. The ticket costs 5€ and there are two rows on either side of the entrance. Left only cash, right cards. At the center comes those who already have the ticket. Worth the cost. Another thing to keep in mind: the official app promoted inside is paid Visit made during the bridge of May 1, 2025: there was the world 😂",中立,中立
4,The skip the line feature was worth the cost. The Parthenon was very busy but worth seeing. The tour was a self guided audio tour which I didn’t get much out of. Would recommend an in person guide,中立,中立
5,"Rome is called the Eternal City and takes its meaning from the creation of the Pantheon that since 27 BC when Marcus Vipsian Agrippa, son-in-law of Emperor Augustus had it built. This temple, whose name means “of all the gods”, is still a basilica and celebrates holy masses. To see.Hello from Roby and Lucy from Sant'Anastasia (Na).",中立,中立
4,"The Pantheon is an extraordinary place, with a rich history, including much conflict over the ages.  Being able to skip the line was very helpful, but it probably only saved 10 minutes on the day that I took the tour.While in the Pantheon, it started to rain outside, and it was a surprise to see the rain falling through the roof, onto the floor of the Pantheon, just like it has done for thousands of years.The audio tour was well organized, but perhaps could have provided more depth.  All in all, it told the story well.If you have a set of headphones that fit your head well, and include a 3.5mm plug, then you are better off using them.",中立,中立
4,We couldn't get in. We went on Saturday and was very crowded. The architecture is amazing and the square is also very beautiful.,中立,中立
5,"It is technically the Catholic Basilica of Saint Mary and the Martyrs, but all maps and reference books indicate the well-established original name of the Pantheon. The largest dome of antiquity that survives to this day. Going inside will cost 5 euros, if there is a queue, it is quite small.",中立,中立
4,"Rome is a city to travel... In history... A lot of places are like this one. Is it worth having a guide? Maybe, but much of what you need is not necessary or can be easily found.Nothing against the work of these professionals, but if you are among friends with such heterogeneous tastes, it is worth not to embarrass your trip.This place is inevitable to go. But go early or you will only have photos of the tourists in front of the monument rsss",中立,中立
5,"Today we talk about sustainable building, but the Romans could teach us a thing or two about this. They left us the Pantheon, now commissioned as a church, a structure, about 20 centuries old. Despite being neglected sometimes through the centuries, (Bernini scavenged the bronze roof to construct the Baldacchino in the St. Peter) today the Pantheon stands tall as a major monument in a monument-rich  Rome. Inside are the tombs of the Italian kings and the tomb of the famous medieval painter Rafael. Observe also the hole in the immense cupola to let the light in. There was a time when you could walk into the Pantheon unhindered, now you have to pay 5 euros a head for admission. Except on the first Sunday of the month. Then admission is free.",中立,中立
4,"The Pantheon of Agrippa or Pantheon of Rome.Temple commissioned by Marcus Agripap during the rule of Augustus.It was completed by order of Emperor Hadrian and dedicated around 126 AD.The original cover consisted of bronze trusses said to have been despoiled by Pope Urban VII, who had them cast to make a hundred cannons for Castle Sant'Angelo.Quite a few queues are queued, but they're fast.",中立,中立
5,"Beautiful , but if you are like us , who take no guide and no audio guide , the tour will not last more than 15 minutes , but it is beautiful",中立,中立
5,"Really not to be missed if you are in Rome, but the line is impressive. I recommend arriving early in the morning, and not visiting it on the weekend",中立,中立
4,"The audio guide was very useful to understand the history of construction and use over the centuries, otherwise you miss things without understanding them. On the other hand easy pass to find the library to get the real entrance tickets",中立,中立
5,Here you must have been....Without guide very good to visit.But it is good to have read SOMETHING before.It is best to book the tickets in advance,中立,中立
4,"There was a self service ticket machine that had a huge lineup. People were getting confused trying to buy tickets. There was no attendants to help. We asked an attendant at one of the other spots at the pantheon. She suggested I go to one of the two other ticket offices. I went to the cash ticket office and there was no lineup at all. Kind of weird why everyone would line up at the ticket machine, while the other two ticket offices were wide-open. We got into the exhibit in no time at all. I suggested to the attendant at the door that someone should help at the self-serve ticket machine or have someone tell the huge lineup that there other ticket offices.",負面,負面
5,"We finally saw the Pantheon that we hadn’t visited in a long time. Now it’s paid for (rightly so) but there’s always a lot of queues, so it’s advisable to arrive half an hour before the opening so you can make a quick visit.",中立,中立
